observer_id,year,month,day,site_id,start_time,point,minute,species_code,distance,how,visual,sex,migrating,cluster_size,cluster_code,notes
CKD,2023,1,28,RW,6:59,5,1,GHOW,300,C,,,,2,,
CKD,2023,1,28,RW,6:59,5,1,AMCR,250,C,,,,4,,
CKD,2023,1,28,RW,6:59,5,2,RNEP,250,C,,,,,,
CKD,2023,1,28,RW,6:59,5,3,NOCA,100,C,,,,,,
CKD,2023,1,28,RW,6:59,5,6,EUST,125,C,X,,,2,,
CKD,2023,1,28,RW,7:08,6,1,NOCA,25,C,X,,,4,,
CKD,2023,1,28,RW,7:08,6,1,DEJU,50,C,X,,,15,,
CKD,2023,1,28,RW,7:08,6,1,ATSP,50,C,X,,,12,,
CKD,2023,1,28,RW,7:08,6,1,RNEP,200,C,,,,,,
CKD,2023,1,28,RW,7:08,6,2,SOSP,100,C,,,,,,
CKD,2023,1,28,RW,7:08,6,4,AMGO,0,C,X,,,6,,
CKD,2023,1,28,RW,7:21,7,1,ATSP,75,C,X,,,25,,
CKD,2023,1,28,RW,7:21,7,2,AMGO,125,C,,,,2,,
CKD,2023,1,28,RW,7:21,7,5,RWBL,100,C,X,,,3,,
CKD,2023,1,28,RW,7:31,8,1,ATSP,75,C,X,,,15,,
CKD,2023,1,28,RW,7:31,8,1,HOLA,150,C,,,,2,,
CKD,2023,1,28,RW,7:31,8,1,NOCA,125,C,,,,,,
CKD,2023,1,28,RW,7:31,8,2,SWSP,125,C,,,,2,,
CKD,2023,1,28,RW,7:31,8,2,SOSP,100,C,,,,,,
CKD,2023,1,28,RW,7:31,8,4,LALO,175,C,,,,2,,
CKD,2023,1,28,RW,7:41,9,1,RNEP,125,C,X,,,5,,
CKD,2023,1,28,RW,7:41,9,1,ATSP,25,C,X,,,12,,
CKD,2023,1,28,RW,7:41,9,3,AMGO,50,C,X,,,3,,
CKD,2023,1,28,RW,7:59,4,1,HOLA,150,C,,,,2,,
CKD,2023,1,28,RW,7:59,4,5,AMGO,125,C,,,,,,
CKD,2023,1,28,RW,7:59,4,6,RNEP,25,C,,,,,,
CKD,2023,1,28,RW,8:11,3,1,ATSP,25,C,X,,,,,
CKD,2023,1,28,RW,8:11,3,2,SAVS,40,C,,,,4,,
CKD,2023,1,28,RW,8:11,3,6,MODO,150,V,X,,,,,
CKD,2023,1,28,RW,8:20,2,1,RNEP,50,V,X,,,,,
CKD,2023,1,28,RW,8:20,2,2,AMCR,150,V,X,,,4,,
CKD,2023,1,28,RW,8:30,1,1,RNEP,10,V,X,,,,,
CKD,2023,1,28,RW,8:30,1,2,ATSP,75,C,X,,,3,,
CKD,2023,1,28,RW,8:30,1,2,SAVS,50,C,X,,,2,,
CKD,2023,1,28,RW,8:30,1,2,EUST,150,C,X,,,3,,
CKD,2023,1,28,RW,8:30,1,3,HOFI,150,C,X,,,5,,
CKD,2023,1,28,RW,8:30,1,4,AMGO,100,C,X,,,4,,
CKD,2023,1,29,JW,7:15,1,1,LALO,25,V,X,,,125,,
CKD,2023,1,29,JW,7:15,1,1,HOLA,50,V,X,,,25,,
CKD,2023,1,29,JW,7:15,1,2,MODO,50,V,X,,,4,,
CKD,2023,1,29,JW,7:15,1,6,AMCR,150,C,X,,,2,,
CKD,2023,1,29,JW,7:24,2,1,ATSP,10,C,X,,,2,,
CKD,2023,1,29,JW,7:24,2,1,LALO,40,C,X,,,225,,
CKD,2023,1,29,JW,7:24,2,3,SNBU,150,V,X,,,8,,
CKD,2023,1,29,JW,7:24,2,5,HOLA,50,V,X,,,10,,
CKD,2023,1,29,JW,7:34,3,1,LALO,75,V,X,,,25,,
CKD,2023,1,29,JW,7:34,3,1,MODO,175,V,X,,,10,,
CKD,2023,1,29,JW,7:34,3,2,ATSP,25,C,X,,,2,,
CKD,2023,1,29,JW,7:44,4,1,LALO,50,C,X,,,5,,
CKD,2023,1,29,JW,7:53,5,2,MODO,125,V,X,,,4,,
CKD,2023,1,29,JW,7:53,5,4,HOLA,75,C,X,,,5,,
CKD,2023,1,29,JW,7:53,5,5,ATSP,50,C,,,,,,
CKD,2023,1,29,JW,8:02,6,3,SAVS,25,C,,,,,,
CKD,2023,1,29,JW,8:02,6,5,LALO,75,C,X,,,40,,
CKD,2023,1,29,JW,8:12,7,1,NOCA,75,V,X,,,3,,
