fourletter_code,english_name,scientific_name
SNOW,Snowy Owl,Bubo scandiacus
SNPL,Snowy Plover,Charadrius nivosus
SBEH,Snowy-bellied Hummingbird,Amazilia edward
SOFL,Social Flycatcher,Myiozetetes similis
SODO,Socorro Dove,Zenaida graysoni
SOMO,Socorro Mockingbird,Mimus graysoni
SOPA,Socorro Parakeet,Psittacara brevipes
SOCW,Socorro Wren,Troglodytes sissonii
SOEA,Solitary Eagle,Buteogallus solitarius
SOSA,Solitary Sandpiper,Tringa solitaria
SOSN,Solitary Snipe,Gallinago solitaria
SOSP,Song Sparrow,Melospiza melodia
SOTH,Song Thrush,Turdus philomelos
SONW,Song Wren,Cyphorhinus phaeocephalus
SOGR,Sooty Grouse,Dendragapus fuliginosus
SOSH,Sooty Shearwater,Ardenna grisea
SOTE,Sooty Tern,Onychoprion fuscatus
SOOT,Sooty Thrush,Turdus nigrescens
SCCH,Sooty-capped Chlorospingus,Chlorospingus pileatus
SFFI,Sooty-faced Finch,Arremon crassirostris
SHTY,Sooty-headed Tyrannulet,Phyllomyias griseiceps
SHWR,Sooty-headed Wren,Pheugopedius spadix
SORA,Sora,Porzana carolina
SPSK,South Polar Skua,Stercorarius maccormicki
SOBT,Southern Beardless-Tyrannulet,Camptostoma obsoletum
SOBE,Southern Bentbill,Oncostoma olivaceum
SOLA,Southern Lapwing,Vanellus chilensis
SOMA,Southern Martin,Progne elegans
SRWS,Southern Rough-winged Swallow,Stelgidopteryx ruficollis
SCHT,Spangle-cheeked Tanager,Tangara dowii
SKTH,Sparkling-tailed Hummingbird,Tilmatura dupontii
SPMO,Speckled Mourner,Laniocera rufescens
SPTA,Speckled Tanager,Ixothraupis guttata
SPEI,Spectacled Eider,Somateria fischeri
SPEO,Spectacled Owl,Pulsatrix perspicillata
SPPA,Spectacled Parrotlet,Forpus conspicillatus
SPTH,Spectacled Thrush,Turdus nudigenis
SFAN,Spiny-faced Antshrike,Xenornis setifrons
SBSA,Spoon-billed Sandpiper,Calidris pygmea
SBOR,Spot-breasted Oriole,Icterus pectoralis
SBWP,Spot-breasted Woodpecker,Colaptes punctigula
SBSW,Spot-breasted Wren,Pheugopedius maculipectus
SPCA,Spot-crowned Antvireo,Dysithamnus puncticeps
SCBA,Spot-crowned Barbet,Capito maculicoronatus
SPCE,Spot-crowned Euphonia,Euphonia imitans
SCRW,Spot-crowned Woodcreeper,Lepidocolaptes affinis
SFSW,Spot-fronted Swift,Cypseloides cherriei
SPTN,Spot-tailed Nightjar,Hydropsalis maculicaudus
SPAN,Spotted Antbird,Hylophylax naevioides
SPBA,Spotted Barbtail,Premnoplex brunnescens
SPCR,Spotted Crake,Porzana porzana
SPDO,Spotted Dove,Streptopelia chinensis
SPFL,Spotted Flycatcher,Muscicapa striata
SPNT,Spotted Nightingale-Thrush,Catharus dryas
SPOW,Spotted Owl,Strix occidentalis
SPRA,Spotted Rail,Pardirallus maculatus
SPRE,Spotted Redshank,Tringa erythropus
SPSA,Spotted Sandpiper,Actitis macularius
SPTO,Spotted Towhee,Pipilo maculatus
SPWQ,Spotted Wood-Quail,Odontophorus guttatus
SPWO,Spotted Woodcreeper,Xiphorhynchus erythropygius
SPWR,Spotted Wren,Campylorhynchus gularis
SPPI,Sprague's Pipit,Anthus spragueii
SPGR,Spruce Grouse,Falcipennis canadensis
SQCU,Squirrel Cuckoo,Piaya cayana
SLBF,St. Lucia Black Finch,Melanospiza richardsoni
SLOR,St. Lucia Oriole,Icterus laudabilis
SLPA,St. Lucia Parrot,Amazona versicolor
SLWA,St. Lucia Warbler,Setophaga delicata
SVPA,St. Vincent Parrot,Amazona guildingii
STPE,Stejneger's Petrel,Pterodroma longirostris
